product_id,camera_video
51995,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)"
73396,"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps"
39407,N/A
61666,1080P/30fps720P/30fps480P/30fps
35920,"4K@30fps, 1080p@30/60/120fps, 720p@960fps; gyro-EIS"
57320,HD 720p@30fpsFullHD 1080p@30fps
84464,N/A
82067,FullHD 1080p@60/30fpsHD 720p@30fps4K 2160p@30fps
90941,N/A
64264,"1080p 1920x1080 | 30fps, 720p 1280x720 | 30fps"
42974,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+"
57372,8K@24fps4K@30/60/120fps1080p@30/60/120/240fps720p@480fps
81359,N/A
70735,N/A
75778,N/A
71547,N/A
60343,1080p@30fps
64834,"4K@30fps, 1080P@60fps/30fps, and 720P@60fps/30fps"
59296,"4K@30/60fps, 1080p@30/60fps, 1080p@960fps; gyro-EIS"
55071,"4K@30/60fps1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR"
56074,"4K@30fps, 1080p@30/60/120fps, 720p@960fps"
57708,1080p | 1920 x 1080@30fps720p | 1280 x 720@30fps
28025,"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
62014,"4K@30fps, 1080p@30fps"
84472,N/A
60619,N/A
78903,"FullHD 1080p@30fps, Quay phim 4K 2160p@30fps"
83579,N/A
75800,4K 1080p@30fps
36493,4K@24/25/30/60fps1080p HD @25/30/60fps720p HD@30fps
38621,FullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps4K 2160p@60fpsHD 720p@30fpsHD 720p@60fps
50200,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps"
83340,N/A
48337,"FullHD 1080p@30fps, HD 720p@30fps"
66931,1080P@30fps
12436,"2160p@30fps, 1080p@30/60fps, 1080p@120fps, 720p@240fps"
61834,"1080P/30fps, 720P/30fps, 480P/30fp"
84477,N/A
72210,N/A
77856,3840 × 2160 pixels16384 x 12288 pixels
55068,"4K@30/60fps1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR"
72201,N/A
59598,"4K@30/60 fps, 1080p@30/60 fps, 720p@30/60 fps"
66377,N/A
36501,4K@24/25/30/60fps1080p HD @25/30/60fps720p HD@30fps
62012,"8K, 4K, 1080p; gyro-EIS"
